pool,venue,track_asset,from_ts,to_ts,days,sqrtk_per_lp_from,sqrtk_per_lp_to,growth_pct,fee_apr_pct,reserve_a_to,reserve_b_to,lp_supply_to,venue_verified,source
MIN2-ADA-IAG,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7b12f25ce8d6f424e1edbc8b61f0742fb13252605f31dc40373d6a245e8ec1d1,1784231029,1785446486,14.068,1.421127938216154325,1.428802618531039020,0.540041,14.9976,500987066224,3921080486919,980943283795,True,deep
MIN2-ADA-IAG,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7b12f25ce8d6f424e1edbc8b61f0742fb13252605f31dc40373d6a245e8ec1d1,1784841400,1785446486,7.003,1.425164429118474380,1.428802618531039020,0.255282,14.2112,500987066224,3921080486919,980943283795,True,deep
MIN2-ADA-SURGE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cab2bc7cba8f1e4edbfbb83b630082ba6d711b7059dad402baa636d0e355732d5,1780261311,1785442979,59.973,1.010290433156921001,1.010977355641666085,0.067993,0.4145,506010638474,3291517922109,1276546113503,True,deep
MIN2-ADA-SURGE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cab2bc7cba8f1e4edbfbb83b630082ba6d711b7059dad402baa636d0e355732d5,1782853408,1785442979,29.972,1.010725045179185086,1.010977355641666085,0.024963,0.3044,506010638474,3291517922109,1276546113503,True,deep
MIN2-ADA-SURGE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cab2bc7cba8f1e4edbfbb83b630082ba6d711b7059dad402baa636d0e355732d5,1784236453,1785442979,13.964,1.010855623113088327,1.010977355641666085,0.012043,0.3152,506010638474,3291517922109,1276546113503,True,deep
MIN2-ADA-SURGE,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cab2bc7cba8f1e4edbfbb83b630082ba6d711b7059dad402baa636d0e355732d5,1784828813,1785442979,7.108,1.010953756029735100,1.010977355641666085,0.002334,0.1199,506010638474,3291517922109,1276546113503,True,deep
MIN2-ADA-iUSD,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c452089abb5bf8cc59b678a2cd7b9ee952346c6c0aa1cf27df324310a70d02fc3,1780257360,1785433638,59.911,1.155815354012280436,1.179655899689428237,2.062660,13.2454,480835336872,82838569683,169183942116,True,deep
MIN2-ADA-iUSD,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c452089abb5bf8cc59b678a2cd7b9ee952346c6c0aa1cf27df324310a70d02fc3,1782848657,1785433638,29.919,1.172542944685450063,1.179655899689428237,0.606626,7.6573,480835336872,82838569683,169183942116,True,deep
MIN2-ADA-iUSD,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c452089abb5bf8cc59b678a2cd7b9ee952346c6c0aa1cf27df324310a70d02fc3,1784235476,1785433638,13.868,1.175071362568543626,1.179655899689428237,0.390150,10.7925,480835336872,82838569683,169183942116,True,deep
MIN2-ADA-iUSD,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c452089abb5bf8cc59b678a2cd7b9ee952346c6c0aa1cf27df324310a70d02fc3,1784837232,1785433638,6.903,1.178508726756069298,1.179655899689428237,0.097341,5.2792,480835336872,82838569683,169183942116,True,deep
MIN2-ADA-LQ,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c6263e0101384dace4d7a8dadf0e6d45c8d43c8872604118ee82e3f2212934917,1780240709,1785442224,60.203,1.184798985301829525,1.194343443614225944,0.805576,4.9848,462502213516,471643063845,391051903247,True,deep
MIN2-ADA-LQ,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c6263e0101384dace4d7a8dadf0e6d45c8d43c8872604118ee82e3f2212934917,1782834634,1785442224,30.18,1.191769701739418056,1.194343443614225944,0.215960,2.6433,462502213516,471643063845,391051903247,True,deep
MIN2-ADA-LQ,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c6263e0101384dace4d7a8dadf0e6d45c8d43c8872604118ee82e3f2212934917,1784183224,1785442224,14.572,1.193138428695575917,1.194343443614225944,0.100995,2.5607,462502213516,471643063845,391051903247,True,deep
MIN2-ADA-LQ,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c6263e0101384dace4d7a8dadf0e6d45c8d43c8872604118ee82e3f2212934917,1784832656,1785442224,7.055,1.194114331266928368,1.194343443614225944,0.019187,0.9975,462502213516,471643063845,391051903247,True,deep
